acronym;full-name;ACL-event
ACL;Association for Computational Linguistics;1
AACL;Asian Chapter of the Association for Computational Linguistics;1
ANLP;Applied Natural Language Processing;1
CL;Computational Linguistics;1
CoNLL;Computational Natural Language Learning;1
EACL;European Chapter of the Association for Computational Linguistics;1
EMNLP;Empirical Methods in Natural Language Processing;1
IWSLT;International Conference on Spoken Language Translation;1
NAACL;North American Chapter of the Association for Computational Linguistics;1
SemEval;Semantic Evaluation;1
SENSEVAL;Sense Evaluation;1
*SEM;Joint Conference on Lexical and Computational Semantics;1
TACL;Transactions of the Association for Computational Linguistics;1
WMT;Workshop on Statistical Machine Translation, Conference on Machine Translation;1
WS;Other workshops and Events;1
SIGANN;Special Interest Group for Annotation;1
SIGBIOMED;Special Interest Group on Biomedical Natural Language Processing, BioNLP, Biomedical Natural Language Processing;1
SIGDAT;Special Interest Group on Linguistic data and corpus-based approaches to NLP;1
SIGDIAL;Special Interest Group on Discourse and Dialogue, SIGdial;1
SIGEDU;Special Interest Group for Building Educational Applications, Building Educational Applications;1
SIGEL;Special Interest Group for Endangered Languages, Study of Endangered Languages;1
SIGFSM;Special Interest Group on Finite-State Methods, Finite-State Methods, Finite State Methods;1
SIGGEN;Special Interest Group on Natural Language Generation, Natural Language Generation;1
SIGHAN;Special Interest Group on Chinese Language Processing, Chinese Language Processing;1
SIGHUM;Special Interest Group on Language Technologies for the Socio-Economic Sciences and Humanities, Language Technology for Cultural Heritage, Social Sciences, and Humanities, LaTeCH;1
SIGLEX;Special Interest Group on the Lexicon;1
SIGMEDIA;Special Interest Group on Multimedia Language Processing;1
SIGMOL;Association for Mathematics of Language, MoL, Mathematics of Language;1
SIGMORPHON;Special Interest Group on Computational Morphology and Phonology;1
SIGMT;Special Interest Group for Machine Translation;1
SIGNLL;Special Interest Group on Natural Language Learning;1
SIGPARSE;Special Interest Group on Natural Language Parsing;1
SIGREP;Special Interest Group on Representation Learning;1
SIGSEM;Special Interest Group on Computational Semantics;1
SIGSEMITIC;Special Interest Group on Computational Apporaches to Semitic Languages;1
SIMSLAV;Special Interest Group on Slavic Natural Language Processing;1
SIGSLPAT;Special Interest Group on Speech and Language Processing for Assistive Technologies;1
SIGSLT;Special Interest Group on Spoken Language Translation;1
SIGTYP;Special Interest Group on Typology;1
SIGUL;Special Interest Group on Under-Resourced Language;1
SIGUR;Special Interest Group on Uralic Languages;1
SIGWAC;Special Interest Group on Web as Corpus;1
ALTA;;0
AMTA;;0
CCL;;0
COLING;;0
EAMT;;0
HLT;;0
IJCLCLP;;0
IJCNLP;;0
JEP;;0
TALN;;0
RECITAL;;0
KONVENS;;0
LILT;;0
LREC;;0
MTSummit;;0
MUC;;0
NEJLT;;0
PACLIC;;0
RANLP;;0
ROCLING;;0
TAL;;0
TINLAP;;0
TIPSTER;;0
