,context-AIC,contribution-AIC,result,impact,directions,limitation,outline-AIC,nc,micro_avg,macro_avg,weighted_avg,samples_avg
lr+cv+text,0.49767441860465117,0.4049382716049383,0.5656565656565656,0.21052631578947367,0.25882352941176473,0.06521739130434782,0.5365853658536586,0.6579150579150579,0.5475653015156401,0.3996671145175572,0.5417254816704109,0.5550314465408804
lr+cv+prefix_text,0.6899563318777293,0.5103092783505154,0.6371428571428571,0.10526315789473684,0.4523809523809524,0.15053763440860216,0.7164179104477612,0.7879722436391673,0.6709594333547971,0.5062475457677902,0.6638544934684539,0.6801212938005391
lr+cv+prefix_SEP,0.6368330464716007,0.4309252217997465,0.5837004405286343,0.09059233449477352,0.23595505617977527,0.1813186813186813,0.34444444444444444,0.586888657648283,0.4613646633529146,0.38633223536074235,0.5372937965108767,0.49987164677191637
lr+tf+text,0.4855769230769231,0.4143222506393862,0.5651537335285505,0.23529411764705882,0.25316455696202533,0.08791208791208792,0.4266666666666667,0.6621823617339312,0.5501618122977346,0.3912840872708287,0.5411679947280463,0.5575022461814915
lr+tf+prefix_text,0.6773455377574371,0.49859943977591037,0.6409495548961425,0.21052631578947367,0.3902439024390244,0.11764705882352941,0.6774193548387096,0.7811348563006633,0.6684022128213473,0.4992332525776113,0.6555568402380479,0.676774483378257
lr+tf+prefix_SEP,0.6712962962962963,0.48725212464589235,0.637593984962406,0.21052631578947367,0.4578313253012048,0.12195121951219512,0.6666666666666666,0.7784256559766763,0.6673183447376996,0.5039429486438514,0.65350045948591,0.6756513926325247
svm+cv+text,0.5363408521303258,0.4059701492537313,0.6356589147286822,0.0,0.3950617283950617,0.1038961038961039,0.5396825396825397,0.7237299930410578,0.6132198952879581,0.4175425351409378,0.5937289589930979,0.6207322551662174
svm+cv+prefix_text,0.7048054919908466,0.5722543352601156,0.6424050632911392,0.1111111111111111,0.47191011235955055,0.17721518987341772,0.6666666666666666,0.8114695340501792,0.7008826413860739,0.5197296880753783,0.6849464158710563,0.7090071877807725
svm+cv+prefix_SEP,0.6946386946386947,0.5279503105590062,0.5816135084427767,0.1111111111111111,0.47619047619047616,0.1794871794871795,0.6206896551724138,0.7916394513389942,0.6819521781853914,0.4979150483675815,0.6556194653698666,0.6907008086253369
svm+tf+text,0.5234567901234568,0.4107142857142857,0.6255778120184899,0.2222222222222222,0.3950617283950617,0.10666666666666667,0.6060606060606061,0.719718309859155,0.6104918032786886,0.45118480263249305,0.5924135015658066,0.6183737646001797
svm+tf+prefix_text,0.6620370370370371,0.527536231884058,0.6708074534161491,0.21052631578947367,0.47058823529411764,0.18666666666666668,0.6153846153846154,0.8101083032490974,0.6950819672131148,0.5192068573401518,0.6791783087604657,0.7030548068283917
svm+tf+prefix_SEP,0.6651162790697674,0.5364431486880467,0.6697819314641744,0.21052631578947367,0.46511627906976744,0.18421052631578946,0.6461538461538462,0.8103821196827685,0.6968503937007874,0.5234663057792042,0.6810468536565412,0.7048517520215634
